player,side_deaths,side_top,side_bot,side_avg_min,side_1v1,side_picks,obj_setup_deaths,gp,pos,midwave_adc_deaths,side_deaths_pg,side_picks_pg,obj_setup_deaths_pg
Tutsz,2,2,0,22.5,0,2,3,6,Middle,0,0.333,0.333,0.5
Tatu,2,1,1,32.5,0,0,2,6,Jungle,0,0.333,0.0,0.333
Dire,3,2,1,23.7,0,0,2,10,Middle,0,0.3,0.0,0.2
Pun,3,0,3,22.7,0,0,2,10,Top,0,0.3,0.0,0.2
Faker,5,2,3,26.8,2,5,1,21,Middle,0,0.238,0.238,0.048
Caliste,2,2,0,25.0,0,0,1,9,ADC,1,0.222,0.0,0.111
BrokenBlade,3,2,1,28.0,0,2,2,15,Top,0,0.2,0.133,0.133
Oner,4,1,3,26.5,0,1,4,21,Jungle,0,0.19,0.048,0.19
HongSuo,1,1,0,20.0,0,1,0,6,Middle,0,0.167,0.167,0.0
Josedeodo,2,2,0,28.5,0,0,1,12,Jungle,0,0.167,0.0,0.083
Kanavi,3,1,2,23.7,0,0,3,20,Jungle,0,0.15,0.0,0.15
Doran,3,3,0,26.3,0,2,2,21,Top,0,0.143,0.095,0.095
Xun,2,1,1,23.5,0,3,2,17,Jungle,0,0.118,0.176,0.118
JackeyLove,1,1,0,39.0,0,2,1,9,ADC,2,0.111,0.222,0.111
Yike,1,1,0,32.0,0,0,2,9,Jungle,0,0.111,0.0,0.222
ZUIAN,1,1,0,40.0,1,1,0,9,Top,0,0.111,0.111,0.0
Hizto,1,0,1,28.0,0,1,0,10,Jungle,0,0.1,0.1,0.0
CoreJJ,1,0,1,21.0,1,1,0,12,Support,0,0.083,0.083,0.0
Morgan,1,0,1,35.0,0,0,1,12,Top,0,0.083,0.0,0.083
Quid,1,1,0,21.0,0,1,1,12,Middle,0,0.083,0.083,0.083
Caps,1,1,0,45.0,0,1,0,15,Middle,0,0.067,0.067,0.0
Bin,1,1,0,21.0,0,1,1,17,Top,0,0.059,0.059,0.059
Viper,1,1,0,25.0,0,3,0,17,ADC,0,0.059,0.176,0.0
Saint,1,0,1,21.0,0,4,1,17,Middle,0,0.059,0.235,0.059
ON,1,1,0,40.0,0,0,2,17,Support,0,0.059,0.0,0.118
Isles,1,0,1,38.0,0,0,2,17,Support,0,0.059,0.0,0.118
Delight,1,0,1,25.0,0,0,2,20,Support,0,0.05,0.0,0.1
Gumayusi,1,0,1,29.0,0,2,2,20,ADC,0,0.05,0.1,0.1
Zeka,1,1,0,21.0,0,1,2,20,Middle,0,0.05,0.05,0.1
Creme,0,0,0,,0,1,0,9,Middle,0,0.0,0.111,0.0
Canna,0,0,0,,0,0,1,9,Top,0,0.0,0.0,0.111
Busio,0,0,0,,0,0,1,9,Support,0,0.0,0.0,0.111
Ayu,0,0,0,,0,0,1,6,ADC,1,0.0,0.0,0.167
Berserker,0,0,0,,0,2,0,17,ADC,0,0.0,0.118,0.0
Flauren,0,0,0,,0,0,1,6,Top,0,0.0,0.0,0.167
Eddie,0,0,0,,0,0,0,10,ADC,1,0.0,0.0,0.0
Dhokla,0,0,0,,0,2,2,17,Top,0,0.0,0.118,0.118
Knight,0,0,0,,0,5,0,17,Middle,0,0.0,0.294,0.0
Inspired,0,0,0,,0,1,0,17,Jungle,0,0.0,0.059,0.0
Hans Sama,0,0,0,,0,0,0,15,ADC,1,0.0,0.0,0.0
JoJo,0,0,0,,0,0,1,6,Support,0,0.0,0.0,0.167
Labrov,0,0,0,,0,0,2,15,Support,0,0.0,0.0,0.133
Peyz,0,0,0,,0,2,0,21,ADC,1,0.0,0.095,0.0
Keria,0,0,0,,0,0,1,21,Support,0,0.0,0.0,0.048
Pop9,0,0,0,,0,0,1,6,Jungle,0,0.0,0.0,0.167
ShiauC,0,0,0,,0,0,2,6,Support,0,0.0,0.0,0.333
Tian,0,0,0,,0,0,3,9,Jungle,0,0.0,0.0,0.333
Yeon,0,0,0,,0,3,1,12,ADC,0,0.0,0.25,0.083
Zeus,0,0,0,,0,0,1,20,Top,0,0.0,0.0,0.05
kyeahoo,0,0,0,,0,1,0,9,Middle,0,0.0,0.111,0.0
