gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,firstPick,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,damagetotowers,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_412882,complete,,MSI,2026,,0,2026-06-28 03:10:49,1,16.13,1,Blue,top,Doran,oe:player:a1f3b2bb3f36e5113237f92d76dc4c8,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1.0,Gnar,Naafiri,Rakan,Nocturne,Lee Sin,Jarvan IV,,,,,,1568,1,3,2,8,25,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9566,1.4158,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,13344,510.6122,0.157423,644.8852,695.1276,13634.0,10,0.3827,5,0.1913,3,33,1.2628,11548,8074,308.9541,0.188367,11358,,,232.0,232.0,0,,,8.8776,3584.0,5472.0,106.0,3347.0,5211.0,93.0,237.0,261.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5018.0,8591.0,139.0,5793.0,9074.0,148.0,-775.0,-483.0,-9.0,0.0,1.0,1.0,2.0,0.0,1.0,8357.0,12384.0,197.0,8241.0,12317.0,208.0,116.0,67.0,-11.0,1.0,2.0,1.0,2.0,1.0,2.0,11002.0,15921.0,232.0,10510.0,15012.0,253.0,492.0,909.0,-21.0,3.0,4.0,1.0,3.0,1.0,3.0
LOLTMNT01_412882,complete,,MSI,2026,,0,2026-06-28 03:10:49,1,16.13,2,Blue,jng,Oner,oe:player:f8b68f268106124fc4bc1c946adc9b0,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1.0,Xin Zhao,Naafiri,Rakan,Nocturne,Lee Sin,Jarvan IV,,,,,,1568,1,5,1,11,25,12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9566,1.4158,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,1.0,0.0,15833,605.8546,0.186787,1375.1403,1008.9796,6007.0,9,0.3444,6,0.2296,7,42,1.6071,12564,9090,347.8316,0.212071,10175,,,197.0,12.0,185,,,7.5383,3337.0,4084.0,74.0,3403.0,3937.0,75.0,-66.0,147.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,5221.0,6861.0,112.0,5502.0,6512.0,112.0,-281.0,349.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,7906.0,10218.0,153.0,7111.0,8893.0,146.0,795.0,1325.0,7.0,1.0,6.0,1.0,1.0,4.0,2.0,10812.0,13797.0,193.0,8892.0,11189.0,173.0,1920.0,2608.0,20.0,3.0,8.0,1.0,1.0,6.0,3.0
LOLTMNT01_412882,complete,,MSI,2026,,0,2026-06-28 03:10:49,1,16.13,3,Blue,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1.0,Orianna,Naafiri,Rakan,Nocturne,Lee Sin,Jarvan IV,,,,,,1568,1,7,1,11,25,12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9566,1.4158,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,25021,957.4362,0.295181,581.0204,562.9209,13555.0,12,0.4592,8,0.3061,3,43,1.6454,13701,10227,391.3393,0.238599,10925,,,263.0,259.0,4,,,10.0638,3879.0,4965.0,108.0,3658.0,4876.0,88.0,221.0,89.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,6567.0,8144.0,159.0,4984.0,7145.0,124.0,1583.0,999.0,35.0,3.0,0.0,0.0,1.0,0.0,2.0,9774.0,11316.0,207.0,7558.0,9553.0,168.0,2216.0,1763.0,39.0,5.0,4.0,0.0,2.0,1.0,4.0,12275.0,16004.0,248.0,10680.0,12290.0,220.0,1595.0,3714.0,28.0,5.0,8.0,1.0,3.0,2.0,5.0
LOLTMNT01_412882,complete,,MSI,2026,,0,2026-06-28 03:10:49,1,16.13,4,Blue,bot,Peyz,oe:player:5bbc2b92348d930ebd500cb9ce71bb7,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1.0,Mel,Naafiri,Rakan,Nocturne,Lee Sin,Jarvan IV,,,,,,1568,1,6,3,9,25,12,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9566,1.4158,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,1.0,0.0,19120,731.6327,0.225565,562.7679,309.7959,5465.0,11,0.4209,3,0.1148,4,17,0.6505,13513,10039,384.1454,0.234213,13450,,,259.0,259.0,0,,,9.9107,3552.0,4826.0,94.0,3683.0,3927.0,92.0,-131.0,899.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,6728.0,8362.0,154.0,5680.0,5988.0,126.0,1048.0,2374.0,28.0,3.0,1.0,0.0,1.0,0.0,3.0,10182.0,11056.0,200.0,7635.0,7939.0,168.0,2547.0,3117.0,32.0,6.0,3.0,1.0,1.0,0.0,5.0,12762.0,14700.0,258.0,9550.0,10268.0,219.0,3212.0,4432.0,39.0,6.0,6.0,2.0,1.0,0.0,6.0
LOLTMNT01_412882,complete,,MSI,2026,,0,2026-06-28 03:10:49,1,16.13,5,Blue,sup,Keria,oe:player:db79ce6ad35451c938fbe2995dabd37,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1.0,Camille,Naafiri,Rakan,Nocturne,Lee Sin,Jarvan IV,,,,,,1568,1,4,5,10,25,12,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9566,1.4158,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,11447,438.023,0.135044,768.8265,639.7577,2217.0,54,2.0663,13,0.4974,28,110,4.2092,8907,5433,207.8954,0.12675,8170,,,32.0,32.0,0,,,1.2245,2719.0,2269.0,17.0,2380.0,2183.0,10.0,339.0,86.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,4085.0,3283.0,25.0,3658.0,3742.0,19.0,427.0,-459.0,6.0,1.0,2.0,3.0,0.0,3.0,0.0,6101.0,5853.0,26.0,5070.0,5392.0,22.0,1031.0,461.0,4.0,2.0,5.0,4.0,1.0,4.0,2.0,7993.0,8336.0,32.0,6346.0,7114.0,23.0,1647.0,1222.0,9.0,3.0,7.0,4.0,1.0,6.0,3.0
LOLTMNT01_412882,complete,,MSI,2026,,0,2026-06-28 03:10:49,1,16.13,6,Red,top,Morgan,oe:player:f73dde2d8c7879ae8d1fcdc03c4ffeb,Team Liquid,oe:team:8eb884e168f28402ce685bedebb5250,0.0,Yasuo,Jayce,Cassiopeia,Varus,Vi,Poppy,,,,,,1568,0,3,4,3,12,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4592,1.4158,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,12523,479.1964,0.191483,608.9541,773.1505,7084.0,7,0.2679,2,0.0765,2,22,0.8418,10868,7394,282.9337,0.232437,10900,,,257.0,257.0,0,,,9.8342,3347.0,5211.0,93.0,3584.0,5472.0,106.0,-237.0,-261.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,5793.0,9074.0,148.0,5018.0,8591.0,139.0,775.0,483.0,9.0,2.0,0.0,1.0,0.0,1.0,1.0,8241.0,12317.0,208.0,8357.0,12384.0,197.0,-116.0,-67.0,11.0,2.0,1.0,2.0,1.0,2.0,1.0,10510.0,15012.0,253.0,11002.0,15921.0,232.0,-492.0,-909.0,21.0,3.0,1.0,3.0,3.0,4.0,1.0
LOLTMNT01_412882,complete,,MSI,2026,,0,2026-06-28 03:10:49,1,16.13,7,Red,jng,Josedeodo,oe:player:52b4f060a577ff87c99118d97fa75f4,Team Liquid,oe:team:8eb884e168f28402ce685bedebb5250,0.0,Wukong,Jayce,Cassiopeia,Varus,Vi,Poppy,,,,,,1568,0,2,4,8,12,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4592,1.4158,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,0.0,1.0,13590,520.0255,0.207798,999.6046,731.5944,0.0,8,0.3061,12,0.4592,4,44,1.6837,9557,6083,232.7679,0.191223,8833,,,173.0,12.0,161,,,6.6199,3403.0,3937.0,75.0,3337.0,4084.0,74.0,66.0,-147.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5502.0,6512.0,112.0,5221.0,6861.0,112.0,281.0,-349.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,7111.0,8893.0,146.0,7906.0,10218.0,153.0,-795.0,-1325.0,-7.0,1.0,4.0,2.0,1.0,6.0,1.0,8892.0,11189.0,173.0,10812.0,13797.0,193.0,-1920.0,-2608.0,-20.0,1.0,6.0,3.0,3.0,8.0,1.0
LOLTMNT01_412882,complete,,MSI,2026,,0,2026-06-28 03:10:49,1,16.13,8,Red,mid,Quid,oe:player:8f8eaac8e99c203ee76e57c5c81c91f,Team Liquid,oe:team:8eb884e168f28402ce685bedebb5250,0.0,Akali,Jayce,Cassiopeia,Varus,Vi,Poppy,,,,,,1568,0,5,6,3,12,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4592,1.4158,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,19826,758.648,0.30315,917.0281,500.2806,1848.0,11,0.4209,4,0.1531,3,30,1.148,12131,8657,331.2628,0.272142,12225,,,221.0,220.0,1,,,8.4566,3658.0,4876.0,88.0,3879.0,4965.0,108.0,-221.0,-89.0,-20.0,1.0,0.0,0.0,0.0,0.0,0.0,4984.0,7145.0,124.0,6567.0,8144.0,159.0,-1583.0,-999.0,-35.0,1.0,0.0,2.0,3.0,0.0,0.0,7558.0,9553.0,168.0,9774.0,11316.0,207.0,-2216.0,-1763.0,-39.0,2.0,1.0,4.0,5.0,4.0,0.0,10680.0,12290.0,220.0,12275.0,16004.0,248.0,-1595.0,-3714.0,-28.0,3.0,2.0,5.0,5.0,8.0,1.0
LOLTMNT01_412882,complete,,MSI,2026,,0,2026-06-28 03:10:49,1,16.13,9,Red,bot,Yeon,oe:player:f6b8af05a5af22004a67a78f3046b92,Team Liquid,oe:team:8eb884e168f28402ce685bedebb5250,0.0,Caitlyn,Jayce,Cassiopeia,Varus,Vi,Poppy,,,,,,1568,0,1,7,3,12,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4592,1.4158,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,1.0,9724,372.0918,0.148685,596.0969,260.1658,2611.0,9,0.3444,5,0.1913,2,21,0.8036,10029,6555,250.8291,0.206061,10150,,,220.0,217.0,3,,,8.4184,3683.0,3927.0,92.0,3552.0,4826.0,94.0,131.0,-899.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,5680.0,5988.0,126.0,6728.0,8362.0,154.0,-1048.0,-2374.0,-28.0,1.0,0.0,3.0,3.0,1.0,0.0,7635.0,7939.0,168.0,10182.0,11056.0,200.0,-2547.0,-3117.0,-32.0,1.0,0.0,5.0,6.0,3.0,1.0,9550.0,10268.0,219.0,12762.0,14700.0,258.0,-3212.0,-4432.0,-39.0,1.0,0.0,6.0,6.0,6.0,2.0
LOLTMNT01_412882,complete,,MSI,2026,,0,2026-06-28 03:10:49,1,16.13,10,Red,sup,CoreJJ,oe:player:05fafeaf23dc3285558a4e968970b9f,Team Liquid,oe:team:8eb884e168f28402ce685bedebb5250,0.0,Bard,Jayce,Cassiopeia,Varus,Vi,Poppy,,,,,,1568,0,1,4,7,12,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4592,1.4158,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,9737,372.5893,0.148884,686.977,600.0,0.0,43,1.6454,11,0.4209,21,100,3.8265,6596,3122,119.4643,0.098137,6305,,,23.0,23.0,0,,,0.8801,2380.0,2183.0,10.0,2719.0,2269.0,17.0,-339.0,-86.0,-7.0,0.0,1.0,0.0,1.0,0.0,1.0,3658.0,3742.0,19.0,4085.0,3283.0,25.0,-427.0,459.0,-6.0,0.0,3.0,0.0,1.0,2.0,3.0,5070.0,5392.0,22.0,6101.0,5853.0,26.0,-1031.0,-461.0,-4.0,1.0,4.0,2.0,2.0,5.0,4.0,6346.0,7114.0,23.0,7993.0,8336.0,32.0,-1647.0,-1222.0,-9.0,1.0,6.0,3.0,3.0,7.0,4.0
