player,team,pos,gp,wins,losses,kda,car,composite,champs,radar_axes,role_rank
Peyz,T1,ADC,21,15,6,5.2,40.6,1.387,Mel x4; Caitlyn x3; Kalista x2,"[{""label"": ""Laning"", ""z"": 1.501}, {""label"": ""Economy"", ""z"": 1.532}, {""label"": ""Damage Efficiency"", ""z"": 1.752}, {""label"": ""Survival"", ""z"": 0.474}]",1
Berserker,LYON,ADC,17,11,6,5.4,26.8,0.838,Ezreal x4; Ziggs x3; Varus x2,"[{""label"": ""Laning"", ""z"": 1.07}, {""label"": ""Economy"", ""z"": 0.299}, {""label"": ""Damage Efficiency"", ""z"": 0.694}, {""label"": ""Survival"", ""z"": 1.539}]",2
Gumayusi,Hanwha Life Esports,ADC,20,13,7,3.5,15.1,0.369,Ziggs x5; Caitlyn x3; Miss Fortune x2,"[{""label"": ""Laning"", ""z"": 1.051}, {""label"": ""Economy"", ""z"": 0.36}, {""label"": ""Damage Efficiency"", ""z"": -0.015}, {""label"": ""Survival"", ""z"": -0.766}]",3
Caliste,Karmine Corp,ADC,9,3,6,3.4,10.1,0.17,Ezreal x2; Varus x2; Caitlyn x1,"[{""label"": ""Laning"", ""z"": 0.152}, {""label"": ""Economy"", ""z"": 0.613}, {""label"": ""Damage Efficiency"", ""z"": -0.553}, {""label"": ""Survival"", ""z"": 0.048}]",4
Yeon,Team Liquid,ADC,12,6,6,3.8,2.1,-0.149,Varus x3; Senna x2; Caitlyn x1,"[{""label"": ""Laning"", ""z"": 0.002}, {""label"": ""Economy"", ""z"": -0.187}, {""label"": ""Damage Efficiency"", ""z"": 0.457}, {""label"": ""Survival"", ""z"": -1.021}]",5
JackeyLove,Top Esports,ADC,9,3,6,1.9,1.9,-0.16,Ziggs x2; Varus x1; Ezreal x1,"[{""label"": ""Laning"", ""z"": 0.152}, {""label"": ""Economy"", ""z"": 0.073}, {""label"": ""Damage Efficiency"", ""z"": 0.179}, {""label"": ""Survival"", ""z"": -1.666}]",6
Eddie,Team Secret Whales,ADC,10,3,7,4.9,1.0,-0.194,Caitlyn x3; Ezreal x2; Jhin x1,"[{""label"": ""Laning"", ""z"": -0.167}, {""label"": ""Economy"", ""z"": -0.332}, {""label"": ""Damage Efficiency"", ""z"": -1.852}, {""label"": ""Survival"", ""z"": 1.678}]",7
Viper,Bilibili Gaming,ADC,17,11,6,4.7,-1.0,-0.274,Ezreal x4; Ashe x2; Mel x2,"[{""label"": ""Laning"", ""z"": -0.186}, {""label"": ""Economy"", ""z"": -0.562}, {""label"": ""Damage Efficiency"", ""z"": 0.055}, {""label"": ""Survival"", ""z"": -0.228}]",8
Ayu,FURIA,ADC,6,0,6,3.2,-3.6,-0.379,Cassiopeia x2; Jhin x1; Lucian x1,"[{""label"": ""Laning"", ""z"": -1.104}, {""label"": ""Economy"", ""z"": -0.386}, {""label"": ""Damage Efficiency"", ""z"": 0.932}, {""label"": ""Survival"", ""z"": -0.045}]",9
Hans Sama,G2 Esports,ADC,15,6,9,2.3,-8.0,-0.556,Ashe x3; Yunara x3; Lucian x2,"[{""label"": ""Laning"", ""z"": -0.485}, {""label"": ""Economy"", ""z"": -0.476}, {""label"": ""Damage Efficiency"", ""z"": -1.171}, {""label"": ""Survival"", ""z"": -0.258}]",10
Feng,Deep Cross Gaming,ADC,6,0,6,1.9,-20.4,-1.05,Senna x2; Jhin x2; Ezreal x1,"[{""label"": ""Laning"", ""z"": -1.984}, {""label"": ""Economy"", ""z"": -0.934}, {""label"": ""Damage Efficiency"", ""z"": -0.477}, {""label"": ""Survival"", ""z"": 0.245}]",11
Hizto,Team Secret Whales,Jungle,10,3,7,3.4,34.6,0.907,Lee Sin x3; Naafiri x3; Xin Zhao x2,"[{""label"": ""Laning"", ""z"": 0.65}, {""label"": ""Economy"", ""z"": 0.812}, {""label"": ""Damage Efficiency"", ""z"": 1.227}, {""label"": ""Survival"", ""z"": 0.941}]",1
SkewMond,G2 Esports,Jungle,15,6,9,2.9,27.8,0.635,Xin Zhao x3; Skarner x2; Wukong x2,"[{""label"": ""Laning"", ""z"": 1.557}, {""label"": ""Economy"", ""z"": -0.622}, {""label"": ""Damage Efficiency"", ""z"": 0.595}, {""label"": ""Survival"", ""z"": 1.01}]",2
Josedeodo,Team Liquid,Jungle,12,6,6,4.1,23.5,0.463,Nocturne x3; Wukong x1; Poppy x1,"[{""label"": ""Laning"", ""z"": 0.877}, {""label"": ""Economy"", ""z"": -0.571}, {""label"": ""Damage Efficiency"", ""z"": 0.801}, {""label"": ""Survival"", ""z"": 0.746}]",3
Tian,Top Esports,Jungle,9,3,6,2.8,18.9,0.279,Jarvan IV x2; Wukong x2; Naafiri x1,"[{""label"": ""Laning"", ""z"": -0.636}, {""label"": ""Economy"", ""z"": 1.153}, {""label"": ""Damage Efficiency"", ""z"": -0.5}, {""label"": ""Survival"", ""z"": 1.098}]",4
Yike,Karmine Corp,Jungle,9,3,6,2.9,16.5,0.185,Naafiri x2; Wukong x2; Qiyana x2,"[{""label"": ""Laning"", ""z"": -0.636}, {""label"": ""Economy"", ""z"": 2.031}, {""label"": ""Damage Efficiency"", ""z"": 0.681}, {""label"": ""Survival"", ""z"": -1.338}]",5
Tatu,FURIA,Jungle,6,0,6,2.7,9.1,-0.111,Naafiri x1; Vi x1; Xin Zhao x1,"[{""label"": ""Laning"", ""z"": -1.733}, {""label"": ""Economy"", ""z"": 0.503}, {""label"": ""Damage Efficiency"", ""z"": 0.715}, {""label"": ""Survival"", ""z"": 0.07}]",6
Xun,Bilibili Gaming,Jungle,17,11,6,4.8,6.2,-0.23,Naafiri x3; Jarvan IV x3; Skarner x2,"[{""label"": ""Laning"", ""z"": -0.069}, {""label"": ""Economy"", ""z"": -0.889}, {""label"": ""Damage Efficiency"", ""z"": 0.207}, {""label"": ""Survival"", ""z"": -0.169}]",7
Kanavi,Hanwha Life Esports,Jungle,20,13,7,3.1,2.8,-0.365,Vi x3; Naafiri x3; Qiyana x2,"[{""label"": ""Laning"", ""z"": 0.763}, {""label"": ""Economy"", ""z"": -0.414}, {""label"": ""Damage Efficiency"", ""z"": 0.279}, {""label"": ""Survival"", ""z"": -2.087}]",8
